COHORT,COUNTY,COHORT_COUNT,N_NOTCOMPLETED,N_COMPLETED,N_COLLEGE_GOING,COMPLETION_RATE,COLLEGE_GOING_RATE
2017,Marinette,464,36,428,278,0.922413793,0.649532710
2021,Walworth,1296,47,1249,387,0.963734568,0.309847878
2017,Dunn,406,39,367,302,0.903940887,0.822888283
2017,Marquette,145,17,128,78,0.882758621,0.609375
2017,Iron,48,2,46,42,0.958333333,0.913043478
2019,Taylor,273,19,254,140,0.930402930,0.551181102
2017,Washburn,181,15,166,106,0.917127072,0.638554217
2021,Calumet,320,15,305,149,0.953125,0.488524590
2019,Dodge,642,53,589,372,0.917445483,0.631578947
2017,Oneida,403,36,367,287,0.910669975,0.782016349
2017,Portage,669,57,612,422,0.914798206,0.689542484
2017,Forest,102,7,95,73,0.931372549,0.768421053
2017,Dane,5617,588,5029,3719,0.895317785,0.739510837
2021,Pepin,64,2,62,41,0.96875,0.661290323
2018,Washburn,176,14,162,114,0.920454545,0.703703704
2017,Juneau,286,30,256,150,0.895104895,0.5859375
2019,Bayfield,113,4,109,73,0.964601770,0.669724771
2020,Juneau,252,12,240,161,0.952380952,0.670833333
2018,Clark,395,20,375,223,0.949367089,0.594666667
2018,Vilas,118,5,113,71,0.957627119,0.628318584
2018,Juneau,300,19,281,160,0.936666667,0.569395018
2021,Bayfield,107,7,100,63,0.934579439,0.63
2020,Ashland,212,45,167,112,0.787735849,0.670658683
2017,Milwaukee,10120,2370,7750,5235,0.765810277,0.675483871
2020,Chippewa,630,39,591,412,0.938095238,0.697123519
2018,Monroe,552,32,520,299,0.942028986,0.575
2020,Waukesha,5004,219,4785,3784,0.956235012,0.790804598
2020,Marinette,404,34,370,275,0.915841584,0.743243243
2017,Chippewa,668,65,603,346,0.902694611,0.573797678
2020,Lincoln,355,31,324,200,0.912676056,0.617283951
2019,Langlade,213,23,190,151,0.892018779,0.794736842
2021,Price,165,11,154,93,0.933333333,0.603896104
2019,Clark,350,18,332,241,0.948571429,0.725903614
2017,Manitowoc,841,78,763,483,0.907253270,0.633027523
2020,Sawyer,167,17,150,88,0.898203593,0.586666667
2021,Sheboygan,1469,147,1322,692,0.899931926,0.523449319
2020,Rock,2061,190,1871,1155,0.907811742,0.617316943
2017,Shawano,409,36,373,245,0.911980440,0.656836461
2017,Sheboygan,1553,90,1463,928,0.942047650,0.634313055
2020,Langlade,237,13,224,118,0.945147679,0.526785714
2017,Rock,2159,177,1982,1154,0.918017601,0.582240161
2020,Buffalo,156,3,153,107,0.980769231,0.699346405
2019,Sawyer,162,17,145,94,0.895061728,0.648275862
2019,Shawano,378,32,346,258,0.915343915,0.745664740
2019,Trempealeau,438,18,420,305,0.958904110,0.726190476
2017,Douglas,456,50,406,259,0.890350877,0.637931034
2021,Lincoln,312,24,288,178,0.923076923,0.618055556
2019,Ashland,201,21,180,140,0.895522388,0.777777778
2019,Lincoln,336,23,313,201,0.931547619,0.642172524
2021,Sauk,873,68,805,428,0.922107675,0.531677019
2020,Walworth,1244,56,1188,682,0.954983923,0.574074074
2018,Douglas,443,50,393,296,0.887133183,0.753180662
2019,Chippewa,705,48,657,413,0.931914894,0.628614916
2021,Monroe,563,40,523,197,0.928952043,0.376673040
2021,Burnett,338,54,284,100,0.840236686,0.352112676
2017,Door,284,13,271,198,0.954225352,0.730627306
2020,Ozaukee,1120,28,1092,855,0.975,0.782967033
2019,Polk,526,19,507,380,0.963878327,0.749506903
2021,Saint Croix,1127,64,1063,634,0.943212067,0.596425212
2018,Barron,585,34,551,355,0.941880342,0.644283122
2018,Sawyer,167,19,148,79,0.886227545,0.533783784
2020,Rusk,139,14,125,82,0.899280576,0.656
2018,Columbia,703,32,671,443,0.954480797,0.660208644
2019,Saint Croix,1114,63,1051,813,0.943447038,0.773549001
2018,Green Lake,237,21,216,158,0.911392405,0.731481481
2017,Winnebago,1644,148,1496,1005,0.909975669,0.671791444
2021,Vernon,304,19,285,105,0.9375,0.368421053
2019,Monroe,553,35,518,306,0.936708861,0.590733591
2021,Chippewa,655,36,619,314,0.945038168,0.507269790
2020,Eau Claire,1008,144,864,623,0.857142857,0.721064815
2020,Jackson,207,20,187,89,0.903381643,0.475935829
2020,Kenosha,2109,172,1937,1261,0.918444761,0.651006711
2018,Brown,3246,289,2957,2212,0.910967344,0.748055462
2018,Wood,989,65,924,611,0.934277048,0.661255411
2019,Richland,128,15,113,71,0.8828125,0.628318584
2017,La Crosse,1188,87,1101,768,0.926767677,0.697547684
2021,,65091,6658,58433,30578,0.897712433,0.523300190
2019,Iowa,237,4,233,181,0.983122363,0.776824034
