Data Year,SCHOOL_YEAR,CESA,COUNTY,DISTRICT_CODE,DISTRICT_NAME,COHORT,COHORT_COUNT,N_COMPLETED,N_NOTCOMPLETED,GROUP_COUNT,multiple_multiple_private,instate_2yr_public,outstate_2yr_public,instate_4yr_private,instate_multiple_public,outstate_4yr_public,outstate_multiple_private,instate_4yr_public,multiple_2yr_public,outstate_4yr_multiple,multiple_multiple_public,outstate_less2_private,outstate_2yr_private,multiple_4yr_public,outstate_2yr_multiple,outstate_multiple_public,instate_4yr_multiple,multiple_4yr_multiple,multiple_multiple_multiple,multiple_4yr_private,outstate_4yr_private,instate_multiple_multiple,multiple_2yr_multiple,outstate_multiple_multiple
2019,2018-19,6,Outagamie,5348,Shiocton,2019,58,56,2,33,,9,,1,4,,,11,,,1,,,,,,1,,1,,,,,
2019,2018-19,2,Rock,413,Beloit,2019,504,445,59,212,,40,4,14,29,14,,24,,1,4,,,1,,,3,1,2,1,16,3,,2
2020,2019-20,3,Grant,4904,River Ridge,2020,51,48,3,24,,13,,1,,2,,5,,,,,,,,,,,,,,,,1
2020,2019-20,2,Rock,2695,Janesville,2020,835,744,91,454,,73,5,30,20,37,,198,,,2,,1,3,,1,5,2,3,1,18,6,,
2021,2020-21,8,Shawano,5264,Shawano,2021,183,171,12,79,,21,2,11,,3,,31,,,,,,1,,,1,1,,,3,1,,
2020,2019-20,7,Manitowoc,5866,Valders Area,2020,81,79,2,67,,21,,8,3,1,,22,,,,,,,,,2,,2,,1,2,,
2018,2017-18,2,Green,63,Albany,2018,31,29,2,22,,5,,2,,,,9,,,1,,,,,,,,,,3,,,
2019,2018-19,1,Milwaukee,2303,Greenfield,2019,267,247,20,176,,28,,15,10,3,,62,1,,8,,,2,,2,5,3,4,,1,5,2,
2017,2016-17,3,Grant,4389,Platteville,2017,98,93,5,79,,13,,,10,7,,28,,,2,,,2,,,1,,2,,9,1,,
2021,2020-21,3,Grant,3850,Riverdale,2021,45,43,2,20,,8,,1,,2,,9,,,,,,,,,,,,,,,,
2019,2018-19,10,Taylor,3409,Medford Area Public,2019,204,186,18,100,,39,,,11,1,,30,,,2,,,1,,,,,,,1,2,,
2019,2018-19,11,Dunn,3444,Menomonie Area,2019,237,217,20,174,,22,1,2,20,23,,53,,1,1,,,5,,,,3,1,,8,,,3
2021,2020-21,5,Wood,4508,Port Edwards,2021,27,25,2,16,,5,,1,2,1,,5,,,,,,,,,,,,,1,,,
2018,2017-18,11,Saint Croix,2611,Hudson,2018,421,408,13,374,1,17,15,4,14,73,,105,5,6,15,,,9,,6,1,11,6,,34,1,,12
2019,2018-19,7,Brown,1407,Denmark,2019,130,121,9,80,,20,1,5,7,2,,24,,,2,,,1,,,2,1,1,,1,1,,
2018,2017-18,4,Jackson,3428,Melrose-Mindoro,2018,49,49,,39,,6,3,1,3,1,,8,,,3,,,2,,,1,,,,1,1,,
2018,2017-18,6,Waupaca,3276,Manawa,2018,60,58,2,29,,10,,2,1,,,7,,,,,,1,,,,1,,,,1,,
2017,2016-17,11,Saint Croix,5432,Somerset,2017,122,121,1,75,,6,3,,5,9,,20,1,1,12,,,3,,,,1,2,,2,,,
2018,2017-18,11,Saint Croix,231,Baldwin-Woodville Area,2018,110,106,4,80,,11,5,1,6,8,,22,1,,2,2,,2,,,,4,,,2,,,3
2020,2019-20,12,Price,1071,Chequamegon,2020,75,73,2,30,,6,,3,,1,,12,,,,,,1,,,,,,,3,1,,
2021,2020-21,5,Columbia,4501,Portage Community,2021,175,157,18,88,,26,1,6,,9,,39,,,,,,1,,,1,1,,,1,,,
2021,2020-21,3,Grant,4529,Potosi,2021,26,25,1,20,,13,,,1,,,6,,,,,,,,,,,,,,,,
2019,2018-19,8,Marinette,2212,Goodman-Armstrong Creek,2019,6,6,,6,,1,,1,1,1,,,,,1,,,,,,,,,,,,,
2019,2018-19,3,Grant,2912,Lancaster Community,2019,61,55,6,54,,15,,1,4,3,,20,,,,,,,,,1,2,,,4,1,,
2021,2020-21,3,Richland,2660,Ithaca,2021,22,21,1,17,,9,,,,3,,5,,,,,,,,,,,,,,,,
2020,2019-20,1,Ozaukee,3479,Mequon-Thiensville,2020,337,331,6,302,,18,1,19,8,48,,138,,1,6,,,10,,2,2,5,1,,23,3,,
2021,2020-21,2,Walworth,1638,Elkhorn Area,2021,304,302,2,78,,35,,3,3,6,,21,,,,,,,,,1,,1,,4,1,,
2021,2020-21,5,Columbia,882,Cambria-Friesland,2021,33,28,5,16,,4,,2,,,,9,,,,,,,,,,,,,,,,
2020,2019-20,2,Walworth,6013,Big Foot UHS,2020,113,111,2,52,,7,,4,1,2,,30,,2,,,,2,,,1,,1,,1,,,1
2018,2017-18,6,Fond du Lac,4872,Ripon Area,2018,150,141,9,101,,18,,5,11,4,,28,,1,4,,,1,,,2,3,1,,5,3,,
2019,2018-19,12,Bayfield,315,Bayfield,2019,25,24,1,19,,1,4,1,,5,,2,,1,,,,,,1,,,,,,1,,
2021,2020-21,9,Marathon,196,Athens,2021,42,41,1,27,,9,,2,1,,,15,,,,,,,,,,,,,,,,
